# Members Section
[Members]
ID,Name
202301135Debate Club,Member
202301135MSTC Club,Member
202301143DADC Club,Member
202301143DTG Club,Member
202301143Debate Club,Member
202301151PMMC Club,Member
202301162Business Club,Member
202301171Programming Club,Member
202301183PMMC Club,Member
202301183Heritage Club,Member
202301183Cubing Club,Member
202301195Khelaiya Club,Member
202301195Muse Club,Member
202301202Khelaiya Club,Member
202301215Khelaiya Club,Member
202301220DADC Club,Member
202301220Press Club,Member
202301220CINS Club,Member
202301220EHC Club,Member
202301232Khelaiya Club,Member
202301245Business Club,Member
202301245Muse Club,Member
202301256Radio Club,Member
202301256Film Club,Member
202301262Press Club,Member
202301262EHC Club,Member
202301271Chess Club,Member
202301284Chess Club,Member
202301295Chess Club,Member
202301303Business Club,Member
202301303CINS Club,Member
202301312DTG Club,Member
202301327Radio Club,Member
202301336Chess Club,Member
202301345Film Club,Member
202301357AI Club,Member
202301365AI Club,Member
202301372Business Club,Member
202301381Film Club,Member
202301381Programming Club,Member
202301396AI Club,Member
202301404AI Club,Member
202301416Radio Club,Member
202301424Programming Club,Member
202301437Radio Club,Member
202301437Cubing Club,Member
202301442DTG Club,Member
202301459Press Club,Member
202301462MSTC Club,Member
202301475MSTC Club,Member
202201003Debate Club,Core Member
202201007Debate Club,Core Member
202201015DTG Club,Core Member
202201015Film Club,Core Member
202201018Programming Club,Core Member
202201025Press Club,Core Member
202201031Debate Club,Core Member
202201042DADC Club,Core Member
202201050Radio Club,Core Member
202201050Film Club,Core Member
202201062Debate Club,Core Member
202201073Music Club,Core Member
202201073Heritage Club,Core Member
202201073Cubing Club,Core Member
202201087Music Club,Core Member
202201087Heritage Club,Core Member
202201101Film Club,Core Member
202201101Business Club,Core Member
202201101Muse Club,Core Member
202201109DTG Club,Core Member
202201109MSTC Club,Core Member
202201109Cubing Club,Core Member
202201118DADC Club,Core Member
202201118CINS Club,Core Member
202201118Muse Club,Core Member
202201122CINS Club,Core Member
202201122Heritage Club,Core Member
202201135Radio Club,Core Member
202201135MSTC Club,Core Member
202201143Press Club,Core Member
202201151Music Club,Core Member
202201151Muse Club,Core Member
202201151Cubing Club,Core Member
202201162Music Club,Core Member
202201171DADC Club,Core Member
202201183DTG Club,Core Member
202201183Buisness Club,Core Member
202201183MSTC Club,Core Member
202201195Programming Club,Core Member
202201195Heritage Club,Core Member
202201202Radio Club,Core Member
202201202EHC Club,Core Member
202201202Programming Club,Core Member
202201215Programming Club,Core Member
202201220PMMC Club,Core Member
202201220Muse Club,Core Member
202201232PMMC Club,Core Member
202201245CINS Club,Core Member
202201245Cubing Club,Core Member
202201256DADC Club,Core Member
202201262DTG Club,Core Member
202201262Buisness Club,Core Member
202201271Radio Club,Core Member
202201284PMMC Club,Core Member
202201295PMMC Club,Core Member
202201303CINS Club,Core Member
202201312EHC Club,Core Member
202201327Press Club,Core Member
202201327EHC Club,Core Member
202201336Khelaiya Club,Core Member
202201345Khelaiya Club,Core Member
202201357Buisness Club,Core Member
202201357EHC Club,Core Member
202201365Khelaiya Club,Core Member
202201372Khelaiya Club,Core Member
202201381Chess Club,Core Member
202201396Film Club,Core Member
202201396Press Club,Core Member
202201404Chess Club,Core Member
202201416Chess Club,Core Member
202201424Chess Club,Core Member
202201437AI Club,Core Member
202201442AI Club,Core Member
202201459AI Club,Core Member
202201462AI Club,Core Member
202201475MSTC Club,Core Member
202101003EHC Club,Core Member
202101007Debate Club,Core Member
202101015Film Club,Core Member
202101018Debate Club,Convener
202101025Debate Club,Deputy Convener
202101031Debate Club,Core Member
202101042Music Club,Core Member
202101050Music Club,Deputy Convener
202101062Press Club,Core Member
202101062Music Club,Deputy Convener
202101073Music Club,Convener
202101087CINS Club,Core Member
202101101PMMC Club,Core Member
202101109Programming Club,Core Member
202101118Radio Club,Core Member
202101118EHC Club,Core Member
202101118Cubing Club,Core Member
202101122PMMC Club,Core Member
202101135DTG Club,Core Member
202101143Radio Club,Core Member
202101151Muse Club,Core Member
202101151PMMC Club,Deputy Convener
202101151Cubing Club,Core Member
202101162PMMC Club,Convener
202101171DADC Club,Core Member
202101183Press Club,Core Member
202101195Khelaiya Club,Core Member
202101195Muse Club,Convener
202101202Radio Club,Convener
202101202EHC Club,Deputy Convener
202101215Programming Club,Core Member
202101215MSTC Club,Core Member
202101220Radio Club,Deputy Convener
202101220Muse Club,Core Member
202101232Business Club,Convener
202101245Programming Club,Deputy Convener
202101245MSTC Club,Core Member
202101245Heritage Club,Core Member
202101256DADC Club,Core Member
202101262EHC Club,Convener
202101271CINS Club,Core Member
202101271MSTC Club,Deputy Convener
202101284Film Club,Core Member
202101284Heritage Club,Core Member
202101284Cubing Club,Deputy Convener
202101284Cubing Club,Convener
202101295Khelaiya Club,Core Member
202101295MSTC Club,Covener
202101295Muse Club,Deputy Convener
202101303DTG Club,Core Member
202101312DADC Club,Deputy Convener
202101312Press Club,Deputy Convener
202101312AI Club,Core Member
202101312Heritage Club,Deputy Convener
202101327CINS Club,Convener
202101336Buisness Club,Deputy Convener
202101336Programming Club,Convener
202101345Khelaiya Club,Convener
202101357Khelaiya Club,Deputy Convener
202101365Chess Club,Core Member
202101365Heritage Club,Convener
202101372Press Club,Convener
202101372AI Club,Core Member
202101381Chess Club,Core Member
202101396DTG Club,Deputy Convener
202101396Film Club,Convener
202101404CINS Club,Deputy Convener
202101416Chess Club,Deputy Convener
202101424Buisness Club,Core Member
202101424AI Club,Deputy Convener
202101437Film Club,Deputy Convener
202101442DTG Club,Convener
202101442Business Club,Convener
202101459Chess Club,Convener
202101462DADC Club,Convener
202101475AI Club,Convener

